system:index,Avg_Rainfall_mm,State,Year,.geo
000000000000000001e3_4,2149.9621986098527,Manipur,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e4_0,3154.1409801709833,Meghalaya,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e4_1,2315.845895610911,Meghalaya,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e4_2,2864.6840456518626,Meghalaya,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e4_3,2559.083170308568,Meghalaya,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e4_4,2982.1695242856163,Meghalaya,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e5_0,2348.0754719636625,Mizoram,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e5_1,1932.336400790577,Mizoram,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e5_2,1983.3567421248508,Mizoram,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e5_3,2147.4347570665086,Mizoram,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e5_4,3009.5593121489783,Mizoram,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e6_0,1878.396253014553,Nagaland,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e6_1,1788.1111464531682,Nagaland,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e6_2,1918.2637647116878,Nagaland,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e6_3,1908.6021174590242,Nagaland,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e6_4,2140.9763119786608,Nagaland,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e7_0,1670.9953140393839,Orissa,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e7_1,1582.9523820094919,Orissa,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e7_2,1433.1560857009604,Orissa,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e7_3,1376.263899986432,Orissa,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e7_4,1359.2134696859246,Orissa,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e8_0,781.5660870863317,Punjab,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e8_1,873.1330601278867,Punjab,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e8_2,831.8390483286304,Punjab,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e8_3,952.1099246141633,Punjab,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e8_4,781.031453301104,Punjab,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e9_0,579.0824118860703,Rajasthan,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e9_1,577.2849572889216,Rajasthan,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e9_2,712.1277488135966,Rajasthan,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e9_3,600.0027515091571,Rajasthan,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001e9_4,774.7142917891853,Rajasthan,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ea_0,1253.0521830909754,Sikkim,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ea_1,1278.114451224415,Sikkim,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ea_2,1260.7724249864198,Sikkim,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ea_3,1025.9587589348027,Sikkim,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ea_4,1182.5431400866275,Sikkim,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001eb_0,1252.2603416772122,Tamil Nadu,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001eb_1,1642.6052910066248,Tamil Nadu,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001eb_2,1292.8996479084465,Tamil Nadu,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001eb_3,1281.5607515775207,Tamil Nadu,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001eb_4,1331.1590653326837,Tamil Nadu,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ec_0,2802.4747828524514,Tripura,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ec_1,2487.0138970297917,Tripura,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ec_2,2414.638612366003,Tripura,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ec_3,2774.6355439535364,Tripura,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ec_4,3728.0113163359765,Tripura,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ed_0,2104.372927078368,West Bengal,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ed_1,2230.045137186004,West Bengal,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ed_2,1590.143776794636,West Bengal,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ed_3,1545.608781517003,West Bengal,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ed_4,1756.337071491058,West Bengal,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ee_0,2605.950976940593,Arunachal Pradesh,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ee_1,2217.75962763582,Arunachal Pradesh,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ee_2,2551.3731484055493,Arunachal Pradesh,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ee_3,2535.5709803185296,Arunachal Pradesh,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001ee_4,2736.7301041834985,Arunachal Pradesh,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f0_0,1068.0968875626065,Chandigarh,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f0_1,970.6057965615266,Chandigarh,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f0_2,1042.297893252802,Chandigarh,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f0_3,1370.5644903697037,Chandigarh,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f0_4,1136.63070857461,Chandigarh,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f2_0,2832.681679557698,Dadra and Nagar Haveli,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f2_1,1948.1609175472026,Dadra and Nagar Haveli,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f2_2,2700.04148266531,Dadra and Nagar Haveli,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f2_3,1921.2558173349166,Dadra and Nagar Haveli,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001f2_4,2420.241807201053,Dadra and Nagar Haveli,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
